"Second","Throughput"
"1","3608"
"2","5351"
"3","5322"
"4","4560"
"5","3992"
"6","5161"
"7","5482"
"8","5290"
"9","5487"
"10","5246"
"11","5511"
"12","5437"
"13","5286"
"14","5303"
"15","5294"
"16","5422"
"17","5485"
"18","5452"
"19","5457"
"20","5378"
"21","5391"
"22","4953"
"23","5520"
"24","5418"
"25","5340"
"26","5403"
"27","5498"
"28","5343"
"29","5516"
"30","5287"
"31","5471"
"32","5436"
"33","5308"
"34","5363"
"35","5302"
"36","5369"
"37","5336"
"38","5509"
"39","5485"
"40","5480"
"41","5483"
"42","5443"
"43","5314"
"44","5533"
"45","5219"
"46","5344"
"47","5376"
"48","5462"
"49","5461"
"50","5322"
"51","5549"
"52","5220"
"53","5375"
"54","5426"
"55","5347"
"56","5312"
"57","5130"
"58","5411"
"59","5511"
"60","5246"
"61","5415"
"62","5325"
"63","5320"
"64","5433"
"65","3249"
"66","5510"
"67","5563"
"68","5387"
"69","5280"
"70","5560"
"71","5566"
"72","5485"
"73","5465"
"74","5586"
"75","5597"
"76","5449"
"77","5303"
"78","5307"
"79","5408"
"80","5356"
"81","5364"
"82","5510"
"83","5090"
"84","5263"
"85","5412"
"86","5482"
"87","5566"
"88","5327"
"89","5506"
"90","5329"
"91","5646"
"92","5487"
"93","5194"
